date,name,total,fillColor,wday
2017-11-27T00:00:00Z,1st Avenue - 26th St N,2329,Weekday,2
2017-11-28T00:00:00Z,1st Avenue - 26th St N,2512,Weekday,3
2017-11-29T00:00:00Z,1st Avenue - 26th St N,2736,Weekday,4
2017-11-30T00:00:00Z,1st Avenue - 26th St N,2438,Weekday,5
2017-12-01T00:00:00Z,1st Avenue - 26th St N,2515,Weekday,6
2017-12-02T00:00:00Z,1st Avenue - 26th St N,1714,Weekend,7
2017-12-03T00:00:00Z,1st Avenue - 26th St N,1512,Weekend,1
2017-12-04T00:00:00Z,1st Avenue - 26th St N,2316,Weekday,2
2017-12-05T00:00:00Z,1st Avenue - 26th St N,1736,Weekday,3
2017-12-06T00:00:00Z,1st Avenue - 26th St N,2318,Weekday,4
2017-12-07T00:00:00Z,1st Avenue - 26th St N,2158,Weekday,5
2017-12-08T00:00:00Z,1st Avenue - 26th St N,2035,Weekday,6
2017-12-09T00:00:00Z,1st Avenue - 26th St N,780,Weekend,7
2017-12-10T00:00:00Z,1st Avenue - 26th St N,1031,Weekend,1
2017-12-11T00:00:00Z,1st Avenue - 26th St N,2129,Weekday,2
2017-12-12T00:00:00Z,1st Avenue - 26th St N,1928,Weekday,3
2017-12-13T00:00:00Z,1st Avenue - 26th St N,1662,Weekday,4
2017-12-14T00:00:00Z,1st Avenue - 26th St N,1260,Weekday,5
2017-12-15T00:00:00Z,1st Avenue - 26th St N,1212,Weekday,6
2017-12-16T00:00:00Z,1st Avenue - 26th St N,1008,Weekend,7
2017-12-17T00:00:00Z,1st Avenue - 26th St N,1207,Weekend,1
2017-12-18T00:00:00Z,1st Avenue - 26th St N,1829,Weekday,2
2017-12-19T00:00:00Z,1st Avenue - 26th St N,2056,Weekday,3
2017-12-20T00:00:00Z,1st Avenue - 26th St N,1941,Weekday,4
2017-12-21T00:00:00Z,1st Avenue - 26th St N,1754,Weekday,5
2017-12-22T00:00:00Z,1st Avenue - 26th St N,1617,Weekday,6
2017-12-23T00:00:00Z,1st Avenue - 26th St N,631,Weekend,7
2017-12-24T00:00:00Z,1st Avenue - 26th St N,559,Weekend,1
2017-12-25T00:00:00Z,1st Avenue - 26th St N,389,Weekday,2
2017-12-26T00:00:00Z,1st Avenue - 26th St N,823,Weekday,3
2017-12-27T00:00:00Z,1st Avenue - 26th St N,877,Weekday,4
2017-12-28T00:00:00Z,1st Avenue - 26th St N,783,Weekday,5
2017-12-29T00:00:00Z,1st Avenue - 26th St N,808,Weekday,6
2017-12-30T00:00:00Z,1st Avenue - 26th St N,517,Weekend,7
2017-12-31T00:00:00Z,1st Avenue - 26th St N,556,Weekend,1
2018-01-01T00:00:00Z,1st Avenue - 26th St N,502,Weekday,2
